"pid","trial","rule","rule_nr","rule_re","condition","accuracy","report_rule"
"83","23","There are exactly three green rocks.","14","Colour","1","5","I think the shape does not matter and as long as the green rocks are used then success in obtaining radiation from this rule will occur "
"83","4","There is exactly one triangle-shaped rock.","5","Shape","1","5","I think as long as a  triangle is placed into the mix and only one triangle combined with another shape , then success is given . The triangle can also be on its own and provide radiation "
"84","17","There are exactly two square-shaped rocks.","12","Shape","1","5","I think that two squares no matter their colour will always create radiation (in case there are only 2 shapes in the arrangement). I haven't tested two squares and 1 additional different shape, so my conclusion is that the arrangement should have only 2 squares of the same or different colours for radiation to occur."
"84","22","There are exactly three green rocks.","14","Colour","1","8","Any 3 green shapes create radiation"
"84","8","There is exactly one square-shaped rock.","6","Shape","1","7","A purple square in combination with either one other or two other shapes (neither of the one/two other shapes should be a square) of either purple, green or red colour  will create radiation"
"85","20","There are exactly three red rocks.","13","Colour","3","8","in radiation D, all shapes have to be red, think that is the rule for planet d"
"85","5","There is exactly one green rock.","2","Colour","3","3","i didn't realise you could pick 2 same shapes of same colour, so im saying these as it seems to be in the same sequence"
"85","10","There are exactly two red rocks.","7","Colour","3","4","im thinking all red shapes and colours is right, so it goes on the colour not the shape."
"86","9","There are exactly two red rocks.","7","Colour","2","8","i think you must have 2 red rocks no more and no less. the thrid rock can be either green or purple and any shape "
"86","23","There are exactly three green rocks.","14","Colour","2","8","all rocks must be green but any shape "
"86","4","There is exactly one green rock.","2","Colour","2","8","there need to be exactly 1 green rock of any shape on its own or with any other shapes ad colours "
"87","0","There is exactly one stick-shaped rock.","4","Shape","2","5","As long as there is at least one shape regardless of the color it should work "
"87","25","There are exactly three purple rocks.","15","Colour","2","4","because they need at least one shape of that color"
"87","11","There are exactly two square-shaped rocks.","12","Shape","2","8","they have to be two shapes regardless of the color but less or more would not work "
"88","19","There are exactly three triangle-shaped rocks.","17","Shape","3","8","I think the rule is to have 3 triangles in the arrangement. It does not matter if the colours within the arrangement are the same. "
"88","0","There is exactly one stick-shaped rock.","4","Shape","3","8","I think the rule is that there has to be exactly one stick shape present. "
"88","10","There are exactly two red rocks.","7","Colour","3","8","The rule is that there must be exactly 2 red shapes present in the arrangement. "
"89","20","There are exactly three square-shaped rocks.","18","Shape","1","5","i think there have to be three shapes the same and also all of the same colour"
"89","4","There is exactly one triangle-shaped rock.","5","Shape","1","5","one triangle of any colour creates radiation"
"89","15","There are exactly two purple rocks.","9","Colour","1","5","to follow the initial example but then try different colours and shapes until they are eliminated"
"90","23","There are exactly three square-shaped rocks.","18","Shape","1","5","All blocks the same"
"90","1","There is exactly one red rock.","1","Colour","1","5","single brown block"
"90","12","There are exactly two green rocks.","8","Colour","1","5","same green colour"
"91","11","There are exactly two square-shaped rocks.","12","Shape","2","8","2 squares have to be present - they can be any colour and can be a combination of any 2 colours. They don't have to be present with any other shapes but will still cause radiation when present with one other shape (either stick or triangle) of any colour"
"91","21","There are exactly three green rocks.","14","Colour","2","8","Any 3 shapes that are all green. No other colours and no less than 3 in total."
"91","8","There is exactly one square-shaped rock.","6","Shape","2","5","That there needs to be only 1 purple square. There can be either of the 2 other purple shapes, either the same or different. 3 maximum but only 1 purple square. No other colours"
"92","4","There is exactly one triangle-shaped rock.","5","Shape","2","5","start with a green triangle"
"92","13","There are exactly two green rocks.","8","Colour","2","5","the rule for this planet is two green triangles only"
"92","18","There are exactly three red rocks.","13","Colour","2","5","all three symbols myst be red but two of them must be stick shaped"
"93","8","There is exactly one square-shaped rock.","6","Shape","2","8","The rule is that radiation is present as long as there is one square present"
"93","23","There are exactly three square-shaped rocks.","18","Shape","2","8","radiation is present if there are 3 squares"
"93","9","There are exactly two stick-shaped rocks.","10","Shape","2","6","having two stick shape stones makes radiation happen"
"94","20","There are exactly three square-shaped rocks.","18","Shape","2","8","There has to be three square rocks (of any colour) to create radiation"
"94","5","There is exactly one square-shaped rock.","6","Shape","2","5","A single square rock is needed to create radiation"
"94","10","There are exactly two triangle-shaped rocks.","11","Shape","2","7","Two triangular rocks must be present to create radiation "
"95","15","There are exactly two stick-shaped rocks.","10","Shape","2","7","Two rectangle shapes must be present"
"95","18","There are exactly three stick-shaped rocks.","16","Shape","2","7","There needs to be three rectangles present. Colour doesn't matter."
"95","4","There is exactly one green rock.","2","Colour","2","5","Radiation occurs when there is one green object and no others"
"96","24","There are exactly three purple rocks.","15","Colour","2","8","The rule is that 3 purple objects are required"
"96","8","There is exactly one purple rock.","3","Colour","2","8","Arrangements with just one purple item of any shape in it will cause radiation"
"96","9","There are exactly two stick-shaped rocks.","10","Shape","2","8","Any thing with 2 sticks of any colour will cause radiation"
"97","8","There is exactly one square-shaped rock.","6","Shape","1","5","i think either all shapes have to be present in different colours, or all of one colour square must be present as in the tests, a purple square on its own caused radiation. with that in mind, 2 purple squares should cause radiation too. "
"97","16","There are exactly two triangle-shaped rocks.","11","Shape","1","5","i think it has to be triangles and they can be either the same colour or different colours but there has to be only 2."
"97","21","There are exactly three stick-shaped rocks.","16","Shape","1","8","i think that there must be 3 shapes and they must be sticks in order to cause radiation, the assortment of colours do not seem to matter"
"98","24","There are exactly three purple rocks.","15","Colour","2","8","The determinant is the colour, while shape or position is not relevant. You need three rocks of the same colour."
"98","15","There are exactly two purple rocks.","9","Colour","2","5","Two rocks of the same colour produce radiation"
"98","1","There is exactly one triangle-shaped rock.","5","Shape","2","5","It looks as if radiation is produced only with the presence of one triangle of any colour"
"99","17","There are exactly two purple rocks.","9","Colour","2","4","Must be only purple squares"
"99","1","There is exactly one red rock.","1","Colour","2","4","I think it must include a red triangle, or it could include any coloured triangle"
"99","26","There are exactly three purple rocks.","15","Colour","2","8","I think it must include some sort of purple"
"100","13","There are exactly two triangle-shaped rocks.","11","Shape","1","5","The rule to set up arrangements to cause radiation on Planet D is to have two triangle shapes of either the same colour or different colours. The shape must be triangle, and there cannot be more than two rocks."
"100","26","There are exactly three square-shaped rocks.","18","Shape","1","8","From the eight tests, I have determined that, to cause radiation on Planet E, three squared rocks must be used. These can be of any colour. Only square rocks can be used. Rectangles will not cause radiation, nor will they cause radiation combined with squared rocks. I did not test triangles, but given the tests, I assume that they do not cause radiation and only square rocks are good to cause radiation on Planet E."
"100","6","There is exactly one purple rock.","3","Colour","1","5","From the tests, I have determined that the arrangement to create radiation on Planet F must be of one purple rock only."
"101","7","There is exactly one triangle-shaped rock.","5","Shape","2","6","I think the rule is strictly one purple triangle"
"101","26","There are exactly three purple rocks.","15","Colour","2","8","The purple color causes the radiation...so any three shapes of colour purple will cause the radiation"
"101","9","There are exactly two stick-shaped rocks.","10","Shape","2","8","Only two rectangle shapes, irrespective of the colour"
